"participant","w_pid","w_siteid","date","predictors","Estimate","Std. Error","z value","Pr(>|z|)","w"
"UChiCogDevLab_mn009","mn009","UChiCogDevLab","2026-08-03_15h43.08.479","(Intercept)",0.162542090141373,0.192626090313176,0.843821778644357,0.398769003615846,4.35029954746819
"UChiCogDevLab_mn009","mn009","UChiCogDevLab","2026-08-03_15h43.08.479","log_numRatio",-0.0186051831109001,0.533816247777035,-0.034853160030961,0.972196830779802,-38.0059028159889
"UChiCogDevLab_mn009","mn009","UChiCogDevLab","2026-08-03_15h43.08.479","log_sizeRatio",0.242908246100965,0.105851834833101,2.29479485626265,0.0217448835734568,2.91100360953838
"UChiCogDevLab_mn009","mn009","UChiCogDevLab","2026-08-03_15h43.08.479","log_spaceRatio",-0.236832127807244,0.631263310957992,-0.375171697287194,0.70753277774425,-2.98568774318515
