"participant","w_pid","w_siteid","date","predictors","Estimate","Std. Error","z value","Pr(>|z|)","w"
"UChiCogDevLab_mn008","mn008","UChiCogDevLab","2026-08-03_12h24.43.661","(Intercept)",-0.265206925979461,0.190009765087715,-1.39575419114398,0.162788529297348,-2.66624553101343
"UChiCogDevLab_mn008","mn008","UChiCogDevLab","2026-08-03_12h24.43.661","log_numRatio",-0.7884329969728,0.545028110932008,-1.44659143475107,0.148011386538689,-0.896850821695051
"UChiCogDevLab_mn008","mn008","UChiCogDevLab","2026-08-03_12h24.43.661","log_sizeRatio",0.0734794798871302,0.101092168069677,0.726856306380581,0.467313985930516,9.62318707580286
"UChiCogDevLab_mn008","mn008","UChiCogDevLab","2026-08-03_12h24.43.661","log_spaceRatio",-0.934591800346836,0.641298960015993,-1.4573418305926,0.145022045397519,-0.756594248873287
