"participant","gn_pid","gn_siteid","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",1,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",2,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",3,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",4,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",5,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",6,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",8,3,1,1,1,1,1,"10-knower"
"UChiCogDevLab_mn031","mn031","UChiCogDevLab",10,3,1,1,1,1,1,"10-knower"
