"participant","gn_pid","gn_siteid","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",1,3,1,1,1,1,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",2,3,1,1,1,1,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",3,3,0,0,1,0,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",4,3,0.333333333333333,0,1,0,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",5,3,0.333333333333333,0,1,0,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",6,3,0.333333333333333,0,1,0,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",8,3,0,0,1,0,1,"2-knower"
"UChiCogDevLab_mn016","mn016","UChiCogDevLab",10,3,0,0,1,0,1,"2-knower"
