"participant","gn_pid","gn_siteid","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",1,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",2,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",3,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",4,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",5,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",6,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",8,3,0,0,1,0,1,"pre-knower"
"UChiCogDevLab_mn006","mn006","UChiCogDevLab",10,3,0,0,1,0,1,"pre-knower"
