"participant","gn_pid","gn_siteid","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",1,3,1,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",2,3,1,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",3,3,1,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",4,3,1,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",5,3,1,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",6,3,0.666666666666667,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",8,3,0.666666666666667,1,1,1,1,"8-knower"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab",10,3,0,0,1,0,1,"8-knower"
