"participant","w_pid","w_siteid","date","predictors","Estimate","Std. Error","z value","Pr(>|z|)","w"
"UChiCogDevLab_mn030","mn030","UChiCogDevLab","2026-08-21_13h50.52.380","(Intercept)",0.501090282513045,0.20225271237382,2.47754542637179,0.0132289567621841,1.41113648750141
"UChiCogDevLab_mn030","mn030","UChiCogDevLab","2026-08-21_13h50.52.380","log_numRatio",-0.157657003816968,0.551170275333539,-0.286040468567653,0.77484712641401,-4.48509589848266
"UChiCogDevLab_mn030","mn030","UChiCogDevLab","2026-08-21_13h50.52.380","log_sizeRatio",0.205417818306909,0.112386593989613,1.82777866126892,0.0675827769982227,3.44228551843579
"UChiCogDevLab_mn030","mn030","UChiCogDevLab","2026-08-21_13h50.52.380","log_spaceRatio",-0.745860046780784,0.660175446610351,-1.1297906497589,0.25856444905654,-0.948042175255935
